Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance
12,8,53.4663,52.0434,Warrior,74.6211,67.0054,38.6059,0.4972,19.2703,1.9245,200,53.4663
12,9,53.4663,52.4808,Warrior,74.6211,67.0054,38.6059,0.4972,19.2703,1.9245,200,53.4663
12,10,53.4663,52.7421,Warrior,74.6211,67.0054,38.6059,0.4972,19.2703,1.9245,200,53.4663
12,11,53.4663,52.9580,Warrior,74.6211,67.0054,38.6059,0.4972,19.2703,1.9245,200,53.4663
13,0,43.8837,31.0475,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
13,1,44.8319,36.2350,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
13,2,48.0266,39.7642,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
13,3,48.0266,41.4379,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
13,4,48.2933,43.6007,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
13,5,48.4214,45.3031,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
13,6,49.2445,46.5435,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
13,7,49.9304,47.4959,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
13,8,51.5241,48.1349,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
13,9,52.7445,49.0200,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
13,10,52.9457,50.0377,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
13,11,53.6193,51.1750,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
13,12,53.6193,51.7801,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
13,13,53.6824,52.5084,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
13,14,53.6824,53.0554,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
13,15,53.8560,53.3285,Warrior,80.7591,72.5374,29.5887,1.5325,15.5823,1.8667,200,53.8560
14,0,41.2804,31.0096,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
14,1,42.6221,35.0443,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
14,2,49.2353,38.3930,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
14,3,49.8711,41.4952,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
14,4,51.1807,44.7883,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
14,5,51.1807,46.6392,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
14,6,53.5668,48.2967,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
14,7,55.3880,50.0321,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
14,8,55.3880,51.4590,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
14,9,55.4460,52.8495,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
14,10,56.2769,54.0686,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
14,11,56.2769,54.6523,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
14,12,56.3248,55.2920,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
14,13,56.5540,55.7266,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
14,14,56.5540,55.9889,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
14,15,56.5540,56.1424,Warrior,82.7657,70.9501,35.9794,1.4332,8.8716,1.8772,200,56.5540
15,0,45.1291,30.3618,Warrior,86.1246,78.7094,15.1281,3.1325,16.9053,1.8320,200,50.7456
15,1,45.1291,35.8770,Warrior,86.1246,78.7094,15.1281,3.1325,16.9053,1.8320,200,50.7456
15,2,50.3179,40.7399,Warrior,86.1246,78.7094,15.1281,3.1325,16.9053,1.8320,200,50.7456
15,3,50.7456,44.8310,Warrior,86.1246,78.7094,15.1281,3.1325,16.9053,1.8320,200,50.7456
15,4,50.7456,47.3231,Warrior,86.1246,78.7094,15.1281,3.1325,16.9053,1.8320,200,50.7456
15,5,50.7456,48.8193,Warrior,86.1246,78.7094,15.1281,3.1325,16.9053,1.8320,200,50.7456
15,6,50.7456,49.4755,Warrior,86.1246,78.7094,15.1281,3.1325,16.9053,1.8320,200,50.7456
15,7,50.7456,50.0494,Warrior,86.1246,78.7094,15.1281,3.1325,16.9053,1.8320,200,50.7456
15,8,50.7456,50.3632,Warrior,86.1246,78.7094,15.1281,3.1325,16.9053,1.8320,200,50.7456
